5	5
Keyboard Camera Speed	Keyboard Camera Speed
Options	Options
Continue	Continue
Exit	Exit
Бележки към актуализацията 1.43f (13.08.2026)	Бележки към актуализацията 1.43f (13.08.2026)
Credits	Credits
New Game	New Game
- Added 22 new items: Apple Smoothie, Orange Smoothie, Cactus Smoothie, Guarana Smoothie, Coffee Smoothie, Corn Salad, Sunflower Seed Salad, Beet Salad, Lemon Jam, Apple Jam, Orange Energy Bar, Lemon Energy Bar, Apple Energy Bar, Berries Energy Bar, Instant Ramen - Tomato Taste, Instant Ramen - Meat Taste, Dried Lemon, Roasted Corn, Roasted Chicken Leg, Empty Can, Empty Jar and PrepperMix\n- New mechanic - Temporary Attribute Buffs: Several old and new food items now provide a 24-hour increase to max Health, Stamina or Preparedness.\n- New mechanic - Permanent Attribute Buffs: Several old and new food items now provide a small permanent increase to max Health, Stamina or Preparedness after being eaten enough times.\n- PrepperMix: A new Stove replacement that can be crafted. It allows you to queue recipes and cook them automatically.\n- Food Info: Food item info cards now display detailed information about their effects, including Health, Stamina, Preparedness and more.\n- Empty Cans and Empty Jars: Some food items now return empty cans or empty jars that can be recycled.\n- Added an All category to the cooking panel.\n- Added an option to the crafting and cooking panels to display only recipes/blueprints for which you currently have the required ingredients/materials.\n- Some minor bug fixes. 	- Added 22 new items: Apple Smoothie, Orange Smoothie, Cactus Smoothie, Guarana Smoothie, Coffee Smoothie, Corn Salad, Sunflower Seed Salad, Beet Salad, Lemon Jam, Apple Jam, Orange Energy Bar, Lemon Energy Bar, Apple Energy Bar, Berries Energy Bar, Instant Ramen - Tomato Taste, Instant Ramen - Meat Taste, Dried Lemon, Roasted Corn, Roasted Chicken Leg, Empty Can, Empty Jar and PrepperMix\n- New mechanic - Temporary Attribute Buffs: Several old and new food items now provide a 24-hour increase to max Health, Stamina or Preparedness.\n- New mechanic - Permanent Attribute Buffs: Several old and new food items now provide a small permanent increase to max Health, Stamina or Preparedness after being eaten enough times.\n- PrepperMix: A new Stove replacement that can be crafted. It allows you to queue recipes and cook them automatically.\n- Food Info: Food item info cards now display detailed information about their effects, including Health, Stamina, Preparedness and more.\n- Empty Cans and Empty Jars: Some food items now return empty cans or empty jars that can be recycled.\n- Added an All category to the cooking panel.\n- Added an option to the crafting and cooking panels to display only recipes/blueprints for which you currently have the required ingredients/materials.\n- Some minor bug fixes. 
DLC is enabled.	DLC is enabled.
Join Discord	Join Discord
Follow	Follow
Add it to your Wishlist!	Add it to your Wishlist!
Разширението е активирано.	Разширението е активирано.
v1.43g	v1.43g
Добре дошъл в бета версията на DLC \Animal Farm\, приятно ми е да те видя тук! :)	Добре дошъл в бета версията на DLC \Animal Farm\, приятно ми е да те видя тук! :)
Промени в бета версията на DLC1	Промени в бета версията на DLC1
Текстовете с информация за клавишите за действие вече ще показват действителните текущи клавишни комбинации.\nПоправено е двойното звучене на ножа при удар.\nДобавени са две нови оръжия: пушка и алебарда, които могат да се намерят в търговията на Джо. \nДобавени са патрони за пушката.\nПодобрена анимация при стрелба с пушка.\nПоканата за фермата вече не може да бъде изхвърлена.\nСега можеш да сушиш мляко и да го превръщаш в сухо мляко в сушилнята.\nКозите и кравите вече не могат да ядат неограничено количество пшеница.\nУрокът по бой ще се показва правилно на стари запазени файлове.\nПоправено е припокриването на количеството материали с описанието в картите на предметите.\nВестникът вече няма да пада под земята.\nПоправено е невъзможността за атака след ходене по горската пътека.\nПоправена е неправилната ротация на героя на стълбата, докато се движи близо до прилепите в мините.\nДруги малки подобрения. \n	Текстовете с информация за клавишите за действие вече ще показват действителните текущи клавишни комбинации.\nПоправено е двойното звучене на ножа при удар.\nДобавени са две нови оръжия: пушка и алебарда, които могат да се намерят в търговията на Джо. \nДобавени са патрони за пушката.\nПодобрена анимация при стрелба с пушка.\nПоканата за фермата вече не може да бъде изхвърлена.\nСега можеш да сушиш мляко и да го превръщаш в сухо мляко в сушилнята.\nКозите и кравите вече не могат да ядат неограничено количество пшеница.\nУрокът по бой ще се показва правилно на стари запазени файлове.\nПоправено е припокриването на количеството материали с описанието в картите на предметите.\nВестникът вече няма да пада под земята.\nПоправено е невъзможността за атака след ходене по горската пътека.\nПоправена е неправилната ротация на героя на стълбата, докато се движи близо до прилепите в мините.\nДруги малки подобрения. \n
Промени в дневника 1.29s бета	Промени в дневника 1.29s бета
- коригирах позицията на кутията с плячка в минииграта Block Out, за да избегна ситуации, в които кутията не е достъпна.\n- ще получиш чертеж за ножици при първото им придобиване.\n- сега можеш да избереш дали да филетиш отделни риби или всички риби в купчина.\n- поправих проблем с животните, които не могат да ядат от хранилката, когато всички слотове на хранилката са заети едновременно.\n- поправих ножиците, които изчезваха.\n- дрехите за фермата могат да бъдат изхвърлени.\n- поправих невъзможността да се използва WSAD за движение на камерата в пшеничния лабиринт.\n- поправих козите, които вървяха върху хранилките.\n- поправих замръзванията на местата за поява на врагове и при пътуване в мините.\n- забавих презареждането на оръжието след изпразване на пълнителя, за да избегна странни анимационни смеси.\n- поправих звуците на ножиците по време на битка.\n- добавих правилни звуци за атака и удар с въдицата.\n- добавих липсващи описания за: алебарда, пушка, патрони за пушка.\n- поправих обърканото име на тиквената супа.\n- поправих показването на резервните патрони за пушка в интерфейса.	- коригирах позицията на кутията с плячка в минииграта Block Out, за да избегна ситуации, в които кутията не е достъпна.\n- ще получиш чертеж за ножици при първото им придобиване.\n- сега можеш да избереш дали да филетиш отделни риби или всички риби в купчина.\n- поправих проблем с животните, които не могат да ядат от хранилката, когато всички слотове на хранилката са заети едновременно.\n- поправих ножиците, които изчезваха.\n- дрехите за фермата могат да бъдат изхвърлени.\n- поправих невъзможността да се използва WSAD за движение на камерата в пшеничния лабиринт.\n- поправих козите, които вървяха върху хранилките.\n- поправих замръзванията на местата за поява на врагове и при пътуване в мините.\n- забавих презареждането на оръжието след изпразване на пълнителя, за да избегна странни анимационни смеси.\n- поправих звуците на ножиците по време на битка.\n- добавих правилни звуци за атака и удар с въдицата.\n- добавих липсващи описания за: алебарда, пушка, патрони за пушка.\n- поправих обърканото име на тиквената супа.\n- поправих показването на резервните патрони за пушка в интерфейса.
Бележки към пача 1.29u бета	Бележки към пача 1.29u бета
Събирането на яйца и мед, доенето и бръсненето дават готовност.\nДвойното щракване върху животно в инвентара вече не го убива.\nНяма повече пилета (и други животни) заклещени под земята или телепортиращи се в грешната стая при зареждане.\nПоправен е проблемът с сандъка от лабиринта, който се превръщаше в минен сандък.\nРегулиран е иконката на патроните за пушката.\nКритичните удари вече са достъпни срещу врагове с високо здраве още от началото.\nБутонът за разширяване на стаите е променен на по-привличащ вниманието цвят.\nУловът на риба дава готовност.\nАктуализиран е минималният ниво на приятелство с ксеносите, което активира специални поведения.\nПоправени са проблеми с календара.\nАктуализирани са размерите и позицията на декорациите в аквариума.\nАктуализирано е максималното количество пропуснати събития в риболовната мини-игра.\nПоправен е редът на рибите на табелата до езерото.	Събирането на яйца и мед, доенето и бръсненето дават готовност.\nДвойното щракване върху животно в инвентара вече не го убива.\nНяма повече пилета (и други животни) заклещени под земята или телепортиращи се в грешната стая при зареждане.\nПоправен е проблемът с сандъка от лабиринта, който се превръщаше в минен сандък.\nРегулиран е иконката на патроните за пушката.\nКритичните удари вече са достъпни срещу врагове с високо здраве още от началото.\nБутонът за разширяване на стаите е променен на по-привличащ вниманието цвят.\nУловът на риба дава готовност.\nАктуализиран е минималният ниво на приятелство с ксеносите, което активира специални поведения.\nПоправени са проблеми с календара.\nАктуализирани са размерите и позицията на декорациите в аквариума.\nАктуализирано е максималното количество пропуснати събития в риболовната мини-игра.\nПоправен е редът на рибите на табелата до езерото.
Бележки към пача 1.29w бета	Бележки към пача 1.29w бета
Поправени са бъгове със засядане на стълбите.\nАгентът вече няма да те обвинява неправилно, че нямаш диван.\nДобавена е кафемашина към работната маса ниво 2.\nДобавени са 2 варианта кухненски шкафове към работната маса ниво 2.\nВече не можеш да превърташ времето бързо, докато караш в пустинята.\nПоправена е грешка с криене на кучешко леговище по време на разследване от агент.\nОбновен е шрифтът и форматът на промените в дневника.\nАктуализирано е поведението на вестниците за кучета.\nПроменено е оформлението на бутоните за риболовен текст.\nПоправена е невъзможността да се задават графични настройки от основното меню.\nПоправен е бъг с неправилно задаване на език по подразбиране.	Поправени са бъгове със засядане на стълбите.\nАгентът вече няма да те обвинява неправилно, че нямаш диван.\nДобавена е кафемашина към работната маса ниво 2.\nДобавени са 2 варианта кухненски шкафове към работната маса ниво 2.\nВече не можеш да превърташ времето бързо, докато караш в пустинята.\nПоправена е грешка с криене на кучешко леговище по време на разследване от агент.\nОбновен е шрифтът и форматът на промените в дневника.\nАктуализирано е поведението на вестниците за кучета.\nПроменено е оформлението на бутоните за риболовен текст.\nПоправена е невъзможността да се задават графични настройки от основното меню.\nПоправен е бъг с неправилно задаване на език по подразбиране.
Бележки към пача 1.29y бета	Бележки към пача 1.29y бета
- Added a <b>mystery blueprint</b> to Joe's trade, what can it be!?\n- Workbench box is now a regular container, you can put anything you want in there.\n- While disassembling, materials will go straight to the player's inventory instead of workbench box.\n- Adjusted fishing rod crafting recipes.\n- You can't disassemble shotguns anymore.\n- Improved critical hit effect 	- Added a <b>mystery blueprint</b> to Joe's trade, what can it be!?\n- Workbench box is now a regular container, you can put anything you want in there.\n- While disassembling, materials will go straight to the player's inventory instead of workbench box.\n- Adjusted fishing rod crafting recipes.\n- You can't disassemble shotguns anymore.\n- Improved critical hit effect 
Бележки към пача 1.29z бета	Бележки към пача 1.29z бета
- Поправи грешката в показването на зареждане на муниции.\n- Поправи бъговете на работната маса.\n- Животните на Уил вече имат някои аксесоари за допълнителна индивидуалност.\n- Поправи рецептата за кафе машината.\n- Поправи описанието на оръжието с Тесла бобина.\n- Поправи съвета за смяна на оръжие [Q], който не се замества с действителния клавиш.\n- При изработката на предмети, ще превключва автоматично към таба с оборудване в инвентара.	- Поправи грешката в показването на зареждане на муниции.\n- Поправи бъговете на работната маса.\n- Животните на Уил вече имат някои аксесоари за допълнителна индивидуалност.\n- Поправи рецептата за кафе машината.\n- Поправи описанието на оръжието с Тесла бобина.\n- Поправи съвета за смяна на оръжие [Q], който не се замества с действителния клавиш.\n- При изработката на предмети, ще превключва автоматично към таба с оборудване в инвентара.
Бележки към актуализацията 1.30а бета	Бележки към актуализацията 1.30а бета
