# key	english
Dialogues/prepScarecrow2	<voice type=laugh>\nOh look, it’s him again. Or her? Them? I don’t know how gender works in scarecrows.
Dialogues/prepScarecrow3	<voice type=question>\nIs it another of the Agency's experiments? It looks they really went over the top with this one.
Dialogues/prepScarecrow4	<voice type=greeting>\nOh hey, scarecrow person! It's the other way to Oz! \nA difficult case, this one.
Dialogues/prepScarecrow5a	<voice type=greeting>\nHey, Veggiehead! Can we talk for a moment?
Dialogues/prepScarecrow5b	<voice type=question>\nNo? That's a pity.
Dialogues/prepScarecrow6	<voice type=laugh>\nOh, here you are, my spooky friend. I am very, very scared! Really! Are you satisfied now? Can we finish this nonsense?
Dialogues/prepScarecrowFightBefore	<voice type=order>\nIt's a fight then. Is it because I called you Veggiehead? Doesn't matter now. Let's see if you're worth a straw!
Dialogues/prepScarecrowFightAfter	And it's over. You've put up a good fight for someone made of straw and rags. 
Dialogues/willProto1	text
Dialogues/prepProto1	text
Dialogues/agentProto1	text
Dialogues/msagentFarmIntro1	<voice type=order>\nWe have spoken about this already. The condition of this farm is still unacceptable.\n<voice type=order>\nYou need to make improvements. This is the last warning, Mr. Will Corso.\n
Dialogues/willFarmIntro2	<voice type=upset>\nThis is a lot of work, and I'm old. This is too much for me alone.
Dialogues/msagentFarmIntro3	<voice type=disappointment>\nMr. Corso...
Dialogues/msagentFarmIntro3.5	We are going to send you someone capable as an assistance.\n<voice type=order>\nPlease let him help you.
Dialogues/willFarmIntro4	<voice type=disappointment>\nEeeh, fine.
Dialogues/msagentToPrepperOnFarm1	<voice type=greeting>\nOh, he's already here. Bless the President, Mr. Prepper.
Dialogues/prepToPrepperOnFarm2	<voice type=laugh>\nBless. I must admit I was surprised to learn that agriculture also lies within the competence of the Agency. 
Dialogues/msagentToPrepperOnFarm3	<voice type=order>\nIf I were a citizen on probation like you, Mr. Prepper, I would tone down the snarkiness.\n<voice type=order>\nAnd be extra mindful about all procedures and regulations.\n
Dialogues/prepToPrepperOnFarm4	<voice type=laugh>\nOh sure, procedures and regulations are some of my favourite things.\n<voice type=question>\nBut seriously, what's so special about this farm?\n
Dialogues/msagentToPrepperOnFarm5	<voice type=order>\nI am not going to discuss such matters with you, Mr. Prepper. Take care.
Dialogues/willFarm1	<voice type=anger>\nSo who the hell are you? Why are you on my turf?
Dialogues/prepFarm2	<voice type=greeting>\nThey call me Mr. Prepper. \nI got a work order telling me to come to this place and help in the maintenance works.\n
Dialogues/willFarm3	<voice type=disappointment>\nSo the Agency sends me a snitch now. Great, they are going to sack me. Or worse.
Dialogues/prepFarm4	<voice type=order>\nTrust me, I'm not a snitch! I'm not thrilled about this work order either.\nBut let's play along for now, and maybe we'll make it beneficial for both of us.
Dialogues/willFarm5	<voice type=disappointment>\nAh, to hell with all this. That whole Agency and this Agent in particular.\n<voice type=anger>\nIt's all their fault!\n<voice type=anger>\nThe state of the farm! And the condition of the animals!\n<voice type=anger>\nAll their fault!
Dialogues/prepFarm6	<voice type=disappointment>\nUhm... Yes, right. I think I can help.\n<voice type=question>\nNow can I take a look around?
Dialogues/willFarm7	<voice type=disappointment>\nAh sure, be my guest.\n<voice type=order>\nJust please, don't stray away too far. Me and Henry are watching you. 
Dialogues/willFarm7.5	<voice type=order>\nJust to the barn and back, please. That's all you need for now.
Dialogues/prepFarm8	<voice type=acceptance>\nOh. OK. Sure. I'll be respectful of your secrets.
Dialogues/willCheckFarmIncomplite1	<voice type=question>\nDid you find out what's wrong with my animals?
Dialogues/prepCheckFarmIncomplite2	<voice type=negation>\nNo, not yet. The case seems a bit tricky.
Dialogues/prepAnimalFeeder	It's completely empty.
Dialogues/prepBrokenFence1	It's broken.
Dialogues/prepBrokenFence2	<voice type=acceptance>\nNot that I'm a detective or anything, but it looks like it's these goats' doing.\nThey seem irritated. I should fix this before these beasts inflict even more damage.\nBut hmm... I think the damage is too big to be fixed on the spot.\n<voice type=acceptance>\nI guess we need a new gate to keep the goats away.
Dialogues/prepBrokenFence3	I'll ask Will about this.\n
Dialogues/prepBrokenFenceTip	I have a new fence ready.\nI should place it here.
Dialogues/prepBrokenChickenHouse1	<voice type=question>\nWhat happened here?\n<voice type=question>\nDid a fragment of the ceiling fall down? Could an animal do it?
Dialogues/prepBrokenChickenHouse2	It seems that the chickens have way too little space.\n<voice type=acceptance>\nI could fix that. I know a thing or two about expanding living space, after all.
Dialogues/prepBarnBackDoor	Closed. \n<voice type=laugh>\nWhat can this funny old man keep hidden away? An alien's corpse or what? 
Dialogues/prepOddBand	They have some weird bands on them... Hm...\n<voice type=question>\nThey look like devices of some sort. Tracking devices, maybe?
Dialogues/prepGoat	They seem really angry.
Dialogues/prepRottenHey	It's rotten.
Dialogues/prepFenceQ1	The fence is destroyed. I need to repair it before the goats make more damage everywhere.\n
Dialogues/willFenceQ2	Mmm, a good point. I even made a sketch of a new gate, but never got around to make it.
Dialogues/willFenceQ3	<voice type=order>\nThis is how it should look like. Hopefully you'll be able to make it more sturdy than the previous one.\n
Dialogues/prepFenceQ4	<voice type=laugh>\nOh, you do have some design skills! I'll do my best.
Dialogues/willFenceRepairIncomplite1	<voice type=question>\nHave you fixed the fence already?
Dialogues/prepFenceRepairIncomplite2	<voice type=negation>\nNo, not yet.
Dialogues/prepGoatEnclouser	<voice type=negation>\nI need to herd the goats into the pen.
Dialogues/prepFenceRepaired1	<voice type=acceptance>\nAnd fixed. This should hold back the tireless monsters for some time.
Dialogues/prepFenceRepaired2	The animals are hungry. No wonder they're irritated.
Dialogues/prepFenceRepaired3	I'll ask Will what he's feeding them with.\n<voice type=disappointment>\nOr rather... What they are supposed to be fed with.
Dialogues/prepWheat1	<voice type=order>\nThe fence is repaired.\n<voice type=disappointment>\nBut Will, I think we have a bigger problem at hand.\n<voice type=question>\nThe animals are hungry. What should I feed them with?
Dialogues/willWheat2	<voice type=upset>\nAah... You know, I never asked for this post. I'm not good with lifestock. \n<voice type=upset>\nAnd every day I wake up tired. Like there's something happening in the night. 
Dialogues/prepWheat3	<voice type=order>\nLook, I'm not judging you. We all have our problems with the Agency.\n<voice type=question>\nI just want to help. So, what about the food?\n
Dialogues/willWheat4	<voice type=disappointment>\nRight... about the food.
Dialogues/willWheat5	Some fresh grain is growing over there.
Dialogues/willWheat6	<voice type=question>\nThe chickens love seeds the most. Right, Henry? 
Dialogues/willWheat6.5	<voice type=order>\nAnd the goats are keen on hay.
Dialogues/prepWheat7	<voice type=acceptance>\nOkay, got it.
Dialogues/willWheatIncomplite1	<voice type=question>\nDid you feed my animals?
Dialogues/prepWheatIncomplite2	<voice type=negation>\nNot yet, sorry.
Dialogues/prepWheatSemiComplited2	<voice type=acceptance>\nYes, feeders are full.\nWe just need to wait for them to eat.\nThey are oddly shy, when I'm around.\nI will give them some space.
Dialogues/prepWheatTimeToMilk1	<voice type=acceptance>\nYes, animals are fed.
Dialogues/willWheatTimeToMilk2	Great! Try to get some milk out of one of those horned devils.\n<voice type=disappointment>\nI bet it will not work.
Dialogues/prepChickenFed1	<voice type=laugh>\nNow we're talking! Cackling, rather. And pecking.
Dialogues/prepChickenFed2	<voice type=order>\nI think it's time to clean their space a bit.
Dialogues/prepChickenFed3	It's getting very crowded by the feeder. There's room for improvement here.\n\n
Dialogues/prepGoatFed1	<voice type=thanks>\nNow, they instantly look better!
Dialogues/prepGoatFed2	Now they are fed, they might be willing to let me closer.
Dialogues/prepGoatFed3	<voice type=disappointment>\nNope. Still pretty angry.\n<voice type=question>\nMaybe it's the fur? Is it too hot for them?
Dialogues/prepAnimalsFed1	<voice type=order>\nThe animals are not hungry anymore, but it's not the end of problems.
Dialogues/prepAnimalsFed2	I need to talk it over with Will.
Dialogues/prepScizzors1	<voice type=order>\nSo I have fed the animals. But I'm afraid we still have some problems to deal with.\n
Dialogues/willScizzors2	<voice type=disappointment>\nI guess... But what do you mean exactly?
Dialogues/prepScizzors3	<voice type=order>\nWell, the goats should be sheared. They are very unkempt and it's too hot for them.
Dialogues/prepScizzors4	<voice type=order>\nAnd the chickens need more space.
Dialogues/willScizzors5	<voice type=question>\nI believe you'll manage with the chicken coop. Right, Henry?
Dialogues/willScizzors6	<voice type=disappointment>\nAnd as for the goats... Let me think...
Dialogues/willScizzors7	I'm sure I had some proper shears somewhere around.\n<voice type=disappointment>\nI can't remember where I put them though...\n<voice type=question>\nCan you look for them?
Dialogues/prepScizzors8	<voice type=acceptance>\nYeah, sure, why not.
Dialogues/willScizzorsIncomplite1	<voice type=question>\nDid you find the shears?\n
Dialogues/prepScizzorsIncomplite2	<voice type=negation>\nNo, so far it's like looking for a needle in a haystack. 
Dialogues/prepDogWithScizzors1	<voice type=surprise>\nWas it a dog? Wait, did he have shears in his mouth?
Dialogues/prepDogWithScizzors2	He must have gone through the back door in the barn.\n<voice type=laugh>\nWell... I have to look for the shears after all, right?
