# key	english	bulgarian	french	russian
Items/DesKeySeed Carrot	Put into a patch of soil to grow some carrots.	Постави в парче почва, за да пораснат моркови.	À planter dans une parcelle de terre pour faire pousser des carottes.	Поместите в участок почвы, чтобы вырастить морковку.
Items/DesKeySeed Corn	Put into a planter to grow corn.	Постави в саксия, за да порасне царевица.	À planter dans une jardinière pour faire pousser du maïs.	Поместите в кадку, чтобы вырастить кукурузу.
Items/DesKeySeed Lettuce	Put into a patch of soil to grow cabbage.	Постави в парче почва, за да порасне зеле.	À planter dans une parcelle de terre pour faire pousser du chou.	Поместите в участок почвы, чтобы вырастить капусту.
Items/DesKeySeed Orange	Put into a greenhouse to grow an orange tree.	Постави в оранжерията, за да отгледаш портокалово дърво.	À planter dans une serre pour faire pousser un oranger.	Поместите в парник, чтобы вырастить апельсиновое дерево.
Items/DesKeySeed Tomato	Put into a greenhouse to grow a tomato bush.	Постави в оранжерията, за да порасне домат.	À planter dans une serre pour faire pousser des tomates.	Поместите в парник, чтобы вырастить томатный куст.
Items/DesKeySeed Turnip	Put into a patch of soil to grow beetroot.	Постави в парче почва, за да порасне цвекло.	À planter dans une parcelle de terre pour faire pousser des betteraves.	Поместите в участок почвы, чтобы вырастить свеклу.
Items/DesKeyShelf	A piece of furniture, useful for storage.	Мебел, полезна за съхранение.	Un meuble, utile pour le rangement.	Предмет мебели, на котором удобно хранить вещи.
Items/DesKeySink	Your main source of water. 	Твоят основен източник на вода.	Votre principale source d'eau.	Ваш главный источник воды.
Items/DesKeySofa	Another piece of furniture. Sell it or disassemble it.	Още едно парче мебели. Продай го или го разглоби.	Un autre meuble. Vendez-le ou démontez-le.	Снова мебель. Продайте или разберите.
Items/DesKeySoup	A basic portion of food. Gonna save you in difficult situations.	Основна порция храна. Ще те спаси в трудни ситуации.	Une portion de nourriture de base. Vous sauvera des situations difficiles.	Простая еда. Спасет в трудных ситуациях.
Items/DesKeyStone	Basic material. You can get it from a mine. You can transform it into glass in a furnace.	Основен материал. Можеш да го получиш от мина. Можеш да го превърнеш в стъкло във фурна.	Matériau de base. Vous pouvez en trouver dans la mine. Vous pouvez le transformer en verre dans un fourneau.	Простой материал. Можно добыть в шахте. Поместите в печь, чтобы сделать стекло.
Items/DesKeyStove	It's a bit like workbench, but for cooking! Cutting edge technology.	Това е нещо като работна маса, но за готвене! Най-новата технология.	C'est un peu comme l'établi, mais pour cuisiner! Technologie de pointe.	Как верстак, только для готовки! Новейшие технологии.
Items/DesKeyTEST	test	тест		
Items/DesKeyTable	Another piece of furniture. Sell it or disassemble it.	Още една мебел. Продай я или я разглоби.	Un autre meuble. Vendez-la ou démontez-la.	Снова мебель. Продайте или разберите.
Items/DesKeyTestSeed	test	тест		
Items/DesKeyTextile	Basic material. Use it to craft some clothes.	Основен материал. Използвай го, за да направиш дрехи.	Matériau de base. Utilisez-le pour fabriquer des vêtements.	Простой материал. Используется для изготовления одежды.
Items/DesKeyTomato	A well-known vegetable. Try cooking it! A good base for soups and sauces.	Доматен сос. Опитай да го сготвиш! Добра основа за супи и сосове.	Un légume très connu. Essayez de le cuisiner! Bonne base pour les soupes et les sauces.	Широко известная ягода. Попробуйте что-нибудь из него приготовить! Хорошая основа для супов и соусов.
Items/DesKeyTowel1	Do you really want to clean right now? You can always disassemble it.	Искаш ли наистина да почистиш сега? Винаги можеш да го разглобиш.	Voulez-vous vraiment nettoyer maintenant? Vous pouvez toujours la démonter.	Вы правда хотите заняться уборкой? Его всегда можно разобрать.
Items/DesKeyTrashpaper	Some used newspapers.\nYou won't get much information from them anymore.	Няколко стари вестника.\nОт тях вече няма да получиш много информация.	Quelques vieux journaux.\nVous n'en obtiendrez plus beaucoup d'informations.	Старые газеты.\nИз них уже не узнать ничего нового.
Items/DesKeyTree Patch	A place where every seed can grow.	Място, където всяко семе може да поникне.	Un endroit où toutes les graines peuvent pousser.	Место, где прорастут любые семена.
Items/DesKeyTreePatch	Perfect for planting. You can increase your food supply thanks to it. 	Идеално за засаждане. Можеш да увеличиш хранителните си запаси благодарение на него.	Parfait pour faire pousser des plantes. Vous pouvez augmenter vos provisions de nourriture grâce à ça.	Отлично подходит для посадки растений. Поможет увеличить запасы продовольствия.
Items/DesKeyTurnip	It's okay, you can eat that. You can also use it to make some sugar.	Няма проблем, можеш да го изядеш. Можеш също да го използваш, за да направиш захар.	C'est bon, vous pouvez les manger. Vous pouvez aussi  les utiliser pour faire du sucre.	Все в порядке, ее можно есть. Или даже сделать из нее сахар.
Items/DesKeyWall Lamp	This kind of lamp is supposedly perfect for use in underground shelters.	Този вид лампа е идеален за използване в подземни убежища.	Ce type de lampe est sensé être parfait pour une utilisation dans les abris souterrains.	Такие лампы должны идеально подходить для использования в подземных укрытиях.
