# source	term	english
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Carrot	Put into a patch of soil to grow some carrots.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Corn	Put into a planter to grow corn.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Lettuce	Put into a patch of soil to grow cabbage.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Orange	Put into a greenhouse to grow an orange tree.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Tomato	Put into a greenhouse to grow a tomato bush.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Turnip	Put into a patch of soil to grow beetroot.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyShelf	A piece of furniture, useful for storage.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySink	Your main source of water. 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySofa	Another piece of furniture. Sell it or disassemble it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySoup	A basic portion of food. Gonna save you in difficult situations.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyStone	Basic material. You can get it from a mine. You can transform it into glass in a furnace.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyStove	It's a bit like workbench, but for cooking! Cutting edge technology.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTEST	test
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTable	Another piece of furniture. Sell it or disassemble it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTestSeed	test
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTextile	Basic material. Use it to craft some clothes.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTomato	A well-known vegetable. Try cooking it! A good base for soups and sauces.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTowel1	Do you really want to clean right now? You can always disassemble it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTrashpaper	Some used newspapers.\nYou won't get much information from them anymore.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTree Patch	A place where every seed can grow.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTreePatch	Perfect for planting. You can increase your food supply thanks to it. 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTurnip	It's okay, you can eat that. You can also use it to make some sugar.
