# key	english
Items/DesKeySeed Carrot	Put into a patch of soil to grow some carrots.
Items/DesKeySeed Corn	Put into a planter to grow corn.
Items/DesKeySeed Lettuce	Put into a patch of soil to grow cabbage.
Items/DesKeySeed Orange	Put into a greenhouse to grow an orange tree.
Items/DesKeySeed Tomato	Put into a greenhouse to grow a tomato bush.
Items/DesKeySeed Turnip	Put into a patch of soil to grow beetroot.
Items/DesKeyShelf	A piece of furniture, useful for storage.
Items/DesKeySink	Your main source of water. 
Items/DesKeySofa	Another piece of furniture. Sell it or disassemble it.
Items/DesKeySoup	A basic portion of food. Gonna save you in difficult situations.
Items/DesKeyStone	Basic material. You can get it from a mine. You can transform it into glass in a furnace.
Items/DesKeyStove	It's a bit like workbench, but for cooking! Cutting edge technology.
Items/DesKeyTEST	test
Items/DesKeyTable	Another piece of furniture. Sell it or disassemble it.
Items/DesKeyTestSeed	test
Items/DesKeyTextile	Basic material. Use it to craft some clothes.
Items/DesKeyTomato	A well-known vegetable. Try cooking it! A good base for soups and sauces.
Items/DesKeyTowel1	Do you really want to clean right now? You can always disassemble it.
Items/DesKeyTrashpaper	Some used newspapers.\nYou won't get much information from them anymore.
Items/DesKeyTree Patch	A place where every seed can grow.
Items/DesKeyTreePatch	Perfect for planting. You can increase your food supply thanks to it. 
Items/DesKeyTurnip	It's okay, you can eat that. You can also use it to make some sugar.
Items/DesKeyWall Lamp	This kind of lamp is supposedly perfect for use in underground shelters.
Items/DesKeyWallLamp	This kind of lamp is supposedly perfect for use in underground shelters.
Items/DesKeyWardrobe	Hide something in it or turn it into wood.
Items/DesKeyWardrobe2	Hide something in it or turn it into wood.
Items/DesKeyWardrobe3	Hide something in it or turn it into wood.
Items/DesKeyWater	This is the basic unit of water. It will make your plants happy.
Items/DesKeyWaterMachine	This wonder of modern technology will collect water for you.\n
Items/DesKeyWatertank	You can put it wherever you like and fill it with plenty of water.\nWhen a drought comes, it can be your main source of water.
Items/DesKeyWinterClothes	This clothing will keep you warm in difficult conditions.
Items/DesKeyWolf Skin	Now you can be a sheep in wolf's skin! Use the pelt to craft warm clothes.
Items/DesKeyWood	Basic material. There is plenty of it in the forest.
Items/DesKeyWooden Chest	Designed to hide your treasures.
Items/DesKeyWoodenChest	Designed to hide your treasures.
Items/DesKeyWoodenPallet	Another source of wood. 
Items/DesKeyWorkbench	Lets you create and disassemble items.
Items/DesKeyWorkbench level 1	Lets you create and disassemble items.
Items/DesKeyWorkbench level 2	Lets you create and disassemble items.
Items/DesKeyWorkbench level 3	Lets you create and disassemble items.
Items/DesKeyWorkbench level 4	Lets you create and disassemble items.
Items/DesKeyWorkshop shelf large	Perfect for stacking all your stuff in the bunker.
Items/DesKeyWorkshop shelf small	Perfect for stacking all your stuff in the bunker.
Items/DesKeyZielarka	--
Items/DesKeyZielarkaProto	--
Items/DesKeybeartrap	Set them in the forest to get fresh meat.
Items/DesKeyelectricity box	The electricity meter shows current power levels in your home and in the bunker.
Items/DesKeypillarHolder	Used for traveling between forest areas. Needs to be repaired first.
Items/DieselBarrel1	Fuel Barrel
Items/Electronics	Electronics
Items/Field Ration	Field Ration
Items/Field Ration Big	Big Field Ration
Items/Flower	Plant
Items/Flower2	Plant
Items/Freezer	Freezer
Items/Fridge	Fridge
Items/Fuel	Fuel
Items/GasolineBarrel	Fuel Barrel
Items/Generator	Generator
Items/Glass	Glass
Items/GreenHouse	Greenhouse
Items/Ground	Ground
Items/HuntingClothes	Hunting Clothes
Items/Kettle	Kettle
Items/KitchenHood	Kitchen Hood
Items/KitchenWardrobe2	Kitchen Cupboard
Items/KitchenWardrobe3	Kitchen Cupboard
Items/KitchenWardrobe4	Kitchen Cupboard
Items/KitchenWardrobe5	Kitchen Cupboard
Items/KitchenWardrobe_M	Kitchen Cupboard
Items/Ladder	Ladder
Items/Lamp	Lamp
Items/Lettuce	Cabbage
Items/Lever	Lever
Items/Log	Log
Items/Loona Tuna	Loona Tuna
Items/MailBox	Mailbox
Items/Manhole	Manhole
Items/Meat	Meat
Items/Metal	Metal
Items/MinerHelmet	Miner Helmet
Items/Money	Money
Items/Newspaper	Newspaper
Items/OilBarrel1	Oil Barrel
Items/Orange	Orange
Items/Pan	Pan
Items/Phone	Phone
Items/Picture1	Canvas
Items/Plastic	Plastic
Items/Plate Green	Green Plate
Items/Plate Red	Red Plate
Items/Plate White	White Plate
Items/Pot Green	Green Pot
Items/Pot Main	Blue Pot
Items/Pot Red	Red Pot
Items/Radio	Radio
Items/Rafinery	Refinery
Items/Revolver	Revolver
Items/Rifle	Rifle
Items/RocketPlan	Rocket Plan
Items/SaltPepper	Salt
Items/Seed Apple	Apple Seed
Items/Seed Carrot	Carrot Seed 
Items/Seed Corn	Corn Seed 
Items/Seed Lettuce	Cabbage Seed 
Items/Seed Orange	Orange Seed 
Items/Seed Tomato	Tomato Seed 
Items/Seed Turnip	Beet Seed 
Items/Shelf	Shelf
Items/Sink	Sink
Items/Sofa	Sofa
Items/Soup	Soup
Items/Stone	Stone
Items/Stove	Stove
Items/TEST	TEST
Items/Table	Table
Items/TestSeed	TestSeed
Items/Textile	Textile
Items/Tomato	Tomato
Items/Towel1	Towel
Items/Trashpaper	Waste Paper
Items/Tree Patch	Tree Patch
Items/TreePatch	Planter
Items/Turnip	Beet
Items/Wall Lamp	Wall Lamp
Items/WallLamp	Wall Lamp
Items/Wardrobe	Wardrobe
Items/Wardrobe2	Wardrobe
Items/Wardrobe3	Wardrobe
Items/Water	Water
Items/WaterMachine	Waterloo 1815
Items/Watertank	Water Tank
Items/WinterClothes	Warm Clothes
Items/Wolf Skin	Wolf Skin
Items/Wood	Wood
Items/Wooden Chest	Wooden Chest
Items/WoodenChest	Wooden Chest
Items/WoodenPallet	Wooden Pallet
Items/Workbench	Workbench
Items/Workbench level 1	Workbench level 1
Items/Workbench level 2	Workbench level 2
Items/Workbench level 3	Workbench level 3
Items/Workbench level 4	Workbench level 4
Items/Workshop shelf large	Workshop shelf - large
Items/Workshop shelf small	Workshop shelf - small
Items/Zielarka	Zielarka
Items/ZielarkaProto	ZielarkaProto
Items/beartrap	Bear Trap
Items/electricity box	Electric Box
Items/pillarHolder	Ropeway Pillar
Items/DesKeyRoomUpgradeBox	Place an upgrade module in it to upgrade a room.
Items/RoomUpgradeBox	Room Upgrade Box
Items/SignHome	Sign
Items/DesKeySignHome	Use it to travel to other locations.
Items/Sign	Sign
Items/DesKeySign	Use it to travel.
Items/MiningMachine	Mining Machine
Items/UraniumMiningMachine	Mining Machine
Items/DesKeyMiningMachine	Fill it with fuel and it will mine for you.\nCome back later to collect the spoil.
