# source\tterm\tenglish\nI2Languages (I2.Loc.LanguageSourceAsset)	UI/Blueprint	Blueprint
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Continue	Continue
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Craft	Craft
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Disassemble	Disassemble
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Eat	Eat
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventBlackout	The electricity has been cut off!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventNoWater	The water has been cut off!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventTrade	The Postman is missing!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Food	Food
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Gear	Gear
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Grab	Grab
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Item	Items
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Material	Materials
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Separate	Separate
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Trade	Trade
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Use	Use
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Hide	Hide
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Unhide	Unhide
I2Languages (I2.Loc.LanguageSourceAsset)	UI/LadderHide	Cover
I2Languages (I2.Loc.LanguageSourceAsset)	UI/LadderUnhide	Uncover
I2Languages (I2.Loc.LanguageSourceAsset)	UI/PlanHide	Turn
I2Languages (I2.Loc.LanguageSourceAsset)	UI/PlanUnhide	Turn
I2Languages (I2.Loc.LanguageSourceAsset)	UI/	
I2Languages (I2.Loc.LanguageSourceAsset)	UI/agentClock	Open the door, the Agent has arrived!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportHeader	Inspection Result
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportMissingItems	Essential items lacking
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportRedundantItems	Suspicious items
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportAdditionalText	We remind you to be a good citizen.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNone	none
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNextVisit	Next visit
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNextVisitDemo	- 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportConsumption	Consumption
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportSuspicion	Suspicion level
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportPreparedness	Preparedness
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportPositive	Result: <i>Positive score</i>
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNegative	Result: <i>Negative score</i>
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportGrade	Grade
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportResult	Result:
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportItemRedundant	Too many:
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportItemMissing	Too little:
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportAnyItem	any
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportGradeTooltip	The grade depends on the result of the visit.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportSuspicionTooltip	The suspicion level depends on the results from all visits.\nIf the Agent doesn't suspect anything, you get a buff.\nIf the Agent suspects something, you get a debuff.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportConsumptionTooltip	Keep consumption below suspect values
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportWaterTooltip	Average daily water consumption
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportElectricityTooltip	Electricity consumption
