# key	english	bulgarian	french	russian
Dialogues/prepScarecrow2	<voice type=laugh>\nOh look, it’s him again. Or her? Them? I don’t know how gender works in scarecrows.	<voice type=laugh>\nО, виж го, той е тук отново. Или тя? Те? Не знам как работи пола при стражи.	<voice type=laugh>\nOh, c'est encore lui. Ou elle? Ou eux? Je ne sais pas comment fonctionne le genre chez les épouvantails.	<voice type=laugh>\nО, гляньте-ка, опять он. Или она? Оно? Гендерные различия пугал – не мой конек.
Dialogues/prepScarecrow3	<voice type=question>\nIs it another of the Agency's experiments? It looks they really went over the top with this one.	<voice type=question>\nДали това е още един от експериментите на Агенцията? Изглежда, че наистина са прекалили с този.	<voice type=question>\nEst-ce que c'est encore une expérience de l'Agence? On dirait qu'ils ont vraiment dépassé les bornes avec celle-là.	<voice type=question>\nОчередной эксперимент Агентства? Кажется, на этот раз они переборщили.
Dialogues/prepScarecrow4	<voice type=greeting>\nOh hey, scarecrow person! It's the other way to Oz! \nA difficult case, this one.	<voice type=greeting>\nО, хай, човекът-стража! Това е обратният път към Оз!\nТрудна случай, този.	<voice type=greeting>\nOh hé, personne-épouvantail! Pour Oz, c'est dans l'autre sens!\nC'est un cas, celui-là.	<voice type=greeting>\nЭй ты, человек-пугало! Страна Оз в другой стороне! \nДа уж, тяжелый случай.
Dialogues/prepScarecrow5a	<voice type=greeting>\nHey, Veggiehead! Can we talk for a moment?	<voice type=greeting>\nЗдравей, Зеленче! Можем ли да поговорим за момент?	<voice type=greeting>\nHé, tête de légume! On peut discuter un instant?	<voice type=greeting>\nЭй, Овощеголовый! Можем поговорить?
Dialogues/prepScarecrow5b	<voice type=question>\nNo? That's a pity.	<voice type=question>\nНе? Жалко.	<voice type=question>\nNon? Dommage.	<voice type=question>\nНет? А жаль.
Dialogues/prepScarecrow6	<voice type=laugh>\nOh, here you are, my spooky friend. I am very, very scared! Really! Are you satisfied now? Can we finish this nonsense?	<voice type=laugh>\nО, ето ти, моят пристрастен приятел. Много, много се страхувам! Наистина! Сега си доволен? Може ли да приключим с тази глупатина?	<voice type=laugh>\nAh, vous voilà, mon épouvantable ami. J'ai très, très peur! Vraiment! Voilà, vous êtes content maintenant? On peut en finir avec ce non-sens?	<voice type=laugh>\nО, вот ты где, мой жуткий друг. Я страшно, СТРАШНО напуган! Серьезно! Ну что, ты доволен? Можем закончить этот цирк?
Dialogues/prepScarecrowFightBefore	<voice type=order>\nIt's a fight then. Is it because I called you Veggiehead? Doesn't matter now. Let's see if you're worth a straw!	<voice type=order>\nТогава ще има битка. Защото те нареках Зеленче? Вече няма значение. Да видим дали си струва дори една тростница!	<voice type=order>\nC'est la guerre alors. C'est parce que je vous ai appelé tête de légume? Aucune 'importance maintenant. Voyons si vous valez plus qu'un brin de paille!	<voice type=order>\nЗначит, будем драться. Это потому что я сравнил твою голову с овощем? А, не важно. Посмотрим, есть ли у тебя солома в соломовницах!
Dialogues/prepScarecrowFightAfter	And it's over. You've put up a good fight for someone made of straw and rags. 	И това е. Добре се бори за някой, направен от слама и парцали.	Voilà c'est fini. Vous vous êtes bien battu pour quelqu'un fait de paille et de chiffons.	Ну вот и все. Для существа из соломы и тряпок ты дал мне хороший отпор.
Dialogues/willProto1	text			
Dialogues/prepProto1	text			
Dialogues/agentProto1	text			
